1,University of Dhaka,DU,Dhaka,General,Public
2,Jahangirnagar University,JU,Dhaka,General,Public
3,University of Rajshahi,RU,Rajshahi,General,Public
4,University of Chittagong,CU,Chattogram,General,Public
5,"Islamic University, Bangladesh",IU,Kushtia,General,Public
6,Khulna University,KU,Khulna,General,Public
7,Jagannath University,JnU,Dhaka,General,Public
8,Comilla University,CoU,Comilla,General,Public
9,Jatiya Kabi Kazi Nazrul Islam University,JKKNIU,Mymensingh,General,Public
10,Bangladesh University of Professionals,BUP,Dhaka,General,Public
11,Begum Rokeya University,BRU,Rangpur,General,Public
12,University of Barisal,BUP,Barisal,General,Public
13,"Rabindra University, Bangladesh",RUBU,Sirajganj,General,Public
14,Sheikh Hasina University,SHU,Netrokona,General,Public
15,Bangabandhu Sheikh Mujibur Rahman University,BSMRU,Kishoreganj,General,Public
16,Mujibnagar University,MU,Meherpur,General,Public
17,Shahjalal University of Science and Technology,SUST,Sylhet,Science And Technology,Public
18,Hajee Mohammad Danesh Science & Technology University,HSTU,Dinajpur,Science And Technology,Public
19,Mawlana Bhashani Science and Technology University,MBSTU,Tangail,Science And Technology,Public
20,Patuakhali Science and Technology University,PSTU,Patuakhali,Science And Technology,Public
21,Noakhali Science and Technology University,NSTU,Noakhali,Science And Technology,Public
22,Jashore University of Science and Technology,JUST,Jessore,Science And Technology,Public
23,Pabna University of Science and Technology,PUST,Pabna,Science And Technology,Public
24,Bangabandhu Sheikh Mujibur Rahman Science and Technology University,BSMRSTU,Gopalganj,Science And Technology,Public
25,Rangamati Science and Technology University,RMSTU,Rangamati,Science And Technology,Public
26,Bangamata Sheikh Fojilatunnesa Mujib Science & Technology University,BSFMSTU,Jamalpur,Science And Technology,Public
27,Chandpur Science and Technology University,CSTU,Chandpur,Science And Technology,Public
28,Sunamganj Science and Technology University,SSTU,Sunamganj,Science And Technology,Public
29,Bogura Science and Technology University,BSTU,Bogura,Science And Technology,Public
30,Lakshmipur Science and Technology University,LSTU,Lakshmipur,Science And Technology,Public
31,Military Institute of Science and Technology,MIST,Dhaka,Science And Technology,Public
32,Bangladesh Agricultural University,BAU,Mymensingh,Agricultural,Public
33,Bangabandhu Sheikh Mujibur Rahman Agricultural University,BMSRAU,Gazipur,Agricultural,Public
34,Sher-E-Bangla Agricultural University,SAU,Dhaka,Agricultural,Public
35,Sylhet Agricultural University,SylAU,Sylhet,Agricultural,Public
36,Khulna Agricultural University,KAU,Khulna,Agricultural,Public
37,Habiganj Agricultural University,HAU,Habiganj,Agricultural,Public
38,Kurigram Agricultural University,KuAU,Kurigram,Agricultural,Public
39,Bangladesh University of Engineering & Technology,BUET,Dhaka,Engineering,Public
40,Khulna University of Engineering & Technology,KUET,Khula,Engineering,Public
41,Chittagong University of Engineering & Technology,CUET,Chattogram,Engineering,Public
42,Rajshahi University of Engineering & Technology,RUET,Rajshahi,Engineering,Public
43,Dhaka University of Engineering & Technology,DUET,Gazipur,Engineering,Public
44,Chittagong Veterinary and Animal Sciences University,CVASU,Chattogram,Special,Public
45,Bangladesh University of Textiles,BUTEX,Dhaka,Special,Public
